Time,Time,Resistance tube,Resistance surface,Temperature tube,Temperature surface
162,17:02:53,700.84,10666.67,98.87778765645507,23.53578071741066
163,17:02:54,700.84,10666.67,98.87778765645507,23.53578071741066
164,17:02:55,689.66,10666.67,99.42223467358248,23.53578071741066
165,17:02:56,689.66,10666.67,99.42223467358248,23.53578071741066
166,17:02:57,678.5,10666.67,99.97501340771218,23.53578071741066
167,17:02:58,678.5,10666.67,99.97501340771218,23.53578071741066
168,17:02:59,678.5,10666.67,99.97501340771218,23.53578071741066
169,17:03:00,678.5,10666.67,99.97501340771218,23.53578071741066
170,17:03:01,667.36,10666.67,100.53634520248806,23.53578071741066
171,17:03:02,656.25,10666.67,101.10633820111477,23.53578071741066
172,17:03:03,656.25,10666.67,101.10633820111477,23.53578071741066
173,17:03:04,656.25,10666.67,101.10633820111477,23.53578071741066
174,17:03:05,656.25,10666.67,101.10633820111477,23.53578071741066
175,17:03:06,645.16,10666.67,101.6862248583648,23.53578071741066
176,17:03:07,645.16,10666.67,101.6862248583648,23.53578071741066
177,17:03:08,645.16,10666.67,101.6862248583648,23.53578071741066
178,17:03:09,634.1,10666.67,102.27619076029818,23.53578071741066
179,17:03:10,634.1,10666.67,102.27619076029818,23.53578071741066
180,17:03:11,645.16,10666.67,101.6862248583648,23.53578071741066
181,17:03:12,634.1,10666.67,102.27619076029818,23.53578071741066
182,17:03:13,634.1,10666.67,102.27619076029818,23.53578071741066
183,17:03:14,634.1,10666.67,102.27619076029818,23.53578071741066
184,17:03:15,634.1,10666.67,102.27619076029818,23.53578071741066
185,17:03:16,623.05,10666.67,102.87801832267795,23.53578071741066
186,17:03:17,623.05,10666.67,102.87801832267795,23.53578071741066
187,17:03:18,623.05,10666.67,102.87801832267795,23.53578071741066
188,17:03:19,612.03,10666.67,103.4913245902293,23.53578071741066
189,17:03:20,612.03,10666.67,103.4913245902293,23.53578071741066
190,17:03:21,612.03,10666.67,103.4913245902293,23.53578071741066
191,17:03:22,601.04,10666.67,104.11677034735973,23.53578071741066
192,17:03:23,601.04,10666.67,104.11677034735973,23.53578071741066
193,17:03:24,601.04,10666.67,104.11677034735973,23.53578071741066
194,17:03:25,612.03,10708.5,103.4913245902293,23.44737750105537
195,17:03:26,612.03,10666.67,103.4913245902293,23.53578071741066
196,17:03:27,612.03,10708.5,103.4913245902293,23.44737750105537
197,17:03:28,623.05,10708.5,102.87801832267795,23.44737750105537
198,17:03:29,612.03,10708.5,103.4913245902293,23.44737750105537
199,17:03:30,623.05,10708.5,102.87801832267795,23.44737750105537
200,17:03:31,645.16,10708.5,101.6862248583648,23.44737750105537
201,17:03:32,645.16,10708.5,101.6862248583648,23.44737750105537
202,17:03:33,645.16,10708.5,101.6862248583648,23.44737750105537
203,17:03:34,656.25,10708.5,101.10633820111477,23.44737750105537
204,17:03:35,667.36,10750.51,100.53634520248806,23.35898054805917
205,17:03:36,667.36,10750.51,100.53634520248806,23.35898054805917
206,17:03:37,678.5,10708.5,99.97501340771218,23.44737750105537
207,17:03:38,700.84,10708.5,98.87778765645507,23.44737750105537
208,17:03:39,712.04,10708.5,98.34153841061615,23.44737750105537
209,17:03:40,712.04,10708.5,98.34153841061615,23.44737750105537
210,17:03:41,734.52,10750.51,97.29217007599313,23.35898054805917
211,17:03:42,745.8,10750.51,96.77880429616971,23.35898054805917
212,17:03:43,757.1,10750.51,96.27311130223684,23.35898054805917
213,17:03:44,768.42,10750.51,95.77494670303491,23.35898054805917
214,17:03:45,779.77,10750.51,95.28373497461665,23.35898054805917
215,17:03:46,802.53,10750.51,94.32290451921342,23.35898054805917
216,17:03:47,802.53,10750.51,94.32290451921342,23.35898054805917
217,17:03:48,825.4,10750.51,93.38864449066178,23.35898054805917
218,17:03:49,836.86,10750.51,92.93176931654963,23.35898054805917
219,17:03:50,859.87,10750.51,92.03616855348746,23.35898054805917
220,17:03:51,871.41,10750.51,91.59753152150058,23.35898054805917
221,17:03:52,894.57,10792.68,90.73741739602427,23.270632352396575
222,17:03:53,917.82,10750.51,89.89971512990181,23.35898054805917
223,17:03:54,941.18,10792.68,89.08255315325441,23.270632352396575
